,word,year,proportion,zipf_test,moment
218,glop,1944,2.031431077264761e-07,3.4258180339015962,0.3902092550408517
72,regift,1995,3.047146615897141e-07,1.6488933720619476,0.396110356329448
334,white paper,1884,2.5854610770007745e-07,0.7717614179167893,0.4020297339460655
220,point man,1944,2.031433703357751e-07,3.317735531348517,0.4087630417729706
191,tikka,1955,3.3241599446150625e-07,3.6720313466865218,0.4097492195292887
161,steampunk,1987,1.3019626449742332e-06,4.383839683165605,0.4099391019631119
9,netbook,2007,4.89390214068329e-07,2.2353061828426735,0.4127448353194417
195,tai chi,1954,2.8624747638222856e-07,0.5760674827377762,0.4227417254680646
373,croquet,1855,2.677795510939912e-07,6.32835993610238,0.4251746854282383
194,power strip,1954,4.5245568847513545e-07,0.95145015208272,0.4259496895011758
17,flash mob,2003,3.416502137465309e-07,0.8084990325110041,0.427108116584202
122,man cave,1992,4.986246362787206e-07,2.0471157346886644,0.4274690984497906
90,som,1993,8.58741319025558e-07,233.5768648266032,0.4303314630258228
301,flower girl,1902,2.4931231813936036e-07,1.4126821682610022,0.4312970930913944
352,wanderlust,1875,3.41649772085437e-07,1.5120530697973018,0.4353667372093084
129,tase,1991,7.110008770426663e-07,2.290943791269548,0.4405454731015832
364,planetarium,1860,4.986239916922595e-07,3.009033216562766,0.4434291484669161
362,magenta,1860,7.29468432290528e-07,3.672395784536567,0.4481047518681256
274,dial tone,1923,3.8781916155011615e-07,1.6672582638331013,0.4513822419399796
36,crunk,2000,3.601173273332985e-07,6.461124631987487,0.4548584923009788
310,labor camp,1900,3.8781916155011615e-07,1.6621839129052307,0.4589183594127179
357,hoodlum,1866,2.8624710634185265e-07,0.9900366884654708,0.4605184980173568
354,giant squid,1872,6.648328483716277e-07,2.711377433541485,0.474959003387469
397,test tube,1846,4.432218989144185e-07,1.7442897565144666,0.4779004745055538
409,claptrap,1799,4.89390214068329e-07,4.703605071372767,0.4842950859136995
324,trove,1888,5.632604350597746e-07,8.203229007384474,0.4933460289429335
177,vroom,1965,6.186631008033591e-07,4.680486314065454,0.5047901420858623
250,hot spot,1929,4.432218989144185e-07,5.201291734202763,0.50709255283711
166,unibrow,1988,8.125724309059044e-07,1.7476133350824588,0.5129980053844256
327,birth canal,1884,4.893908467180035e-07,3.964003043572562,0.5299351917451569
173,deadman,1965,4.89390214068329e-07,13.699986822843135,0.5299351917451569
246,play down,1930,3.60117792867965e-07,2.0224078805995425,0.5318363642985329
